Date,User_ID,Location,Text
2020-04-07,kmmurray97,Cardiff,"@Gurinder_Singh1 I’m also interested to know how many #pharmacists in the #UK of any ethnic group have had a #COVID19 #riskassessment. People with #diabetes, #heartdisease, #obesity &amp; #males over a certain age are also at risk of developing severe #coronavirus. @rpharms has this been looked at?"
2020-04-07,Damo_McGregor,United Kingdom,"I'm Starting To Feel Like There May Actually Be A Second Wave Of COVID-19 Coming... 🤔 And I Feel It May Be A Lot Closer To Home.
😳🙏🏼😷
#COVID19 #StaySafeProtectOthersSaveLives"
2020-04-07,opalfromthebbc,"London, England",My #COVID19 paranoia has me scared every time I get a weak cup of coffee and think I'm losing my sense of taste!
2020-04-07,kmmurray97,Cardiff,"@Gurinder_Singh1 I agree that it is shocking that #BAME #pharmacists haven’t had a #COVID19 #riskassessment, especially with the higher incidence of severe #coronavirus infection &amp; high rate of death amongst this community."
2020-04-07,Conkleton,"Brighton, England","Why is it compulsory to wear a mask throughout #publictransport journey including the stations and be reminded by posters and announcements but so many station staff are not wearing one in #LondonBridge and #Brighton

@nationalrailenq @SouthernRailUK @TLRailUK 
#COVID19"
2020-04-07,dougf24,Paris,"A #Covid19 comeback? #France has not seen the epidemic erupt anew since deconfinement on May 11. The no. of hospitalizations for the virus has averaged about 100/day over the last week vs. 3,500 at peak of epidemic. But scientists wonder whether this is just a summer reprieve?"
2020-04-07,UKandEU,Reino Unido,"How should manufacturing policy change following #Covid19 and the #Brexit negotiations? 🤔

.@dgbailey and @IvanRajicUK explain in our NEW blog. 🏭 🚙

https://t.co/oVax6gzm3N

#ManufacturingBrexit https://t.co/sHeRok8gUD"
2020-04-07,MarkHammill,"Manchester, England",#bournemouthbeach #COVID19 lots needing to test their eyesight on partners birthday: spreading &amp; going home #Cummingseffect [adj] ‘when the Nation realises unelected advisors aren’t all in this together’ but are above the law. @MattHancock #NHS @guardian @evening #2ndwave @PHE_uk https://t.co/m2oMeQSVU6
2020-04-07,Sowsnek_Sethor,Cambridgeshire,"@MattHancock says the Government has the power to ‘close the beaches’.  How? The few remaining police have their hands full. Vilified, and assaulted, with media hacking away at ‘policing by consent’.  #lawlessbritain #COVID19 #ThinBlueLine"
2020-04-07,cantwaitogo,La Creuse,Oh and of course your #coronavirus achievement is the highlight of your promised #Brexit bonuses so far #worldbeating !! #Liverpool deservedly race away with the league while you are doing the same in the European #COVID19 results... https://t.co/Xm6XafPZAf
2020-04-07,fuse_online,"Middlesbrough, England","Blog: ""If you are going to give up smoking, this is a very good moment to do it"" 

In today's #fuseblog @RaeMcIl echos the words of @CMO_England as she shares her experience of managing a local specialist stop smoking service during the #COVID19 pandemic.

https://t.co/SYLPpuJakb https://t.co/Q9yJ0aMHFY"
2020-04-07,365Wrestle,"England, United Kingdom","ICYMI: WWE announcer Kayla Braxton and WWE producer Adam Pearce are the latest WWE employees to confirm they have tested positive for COVID-19.

#WWE #COVID19 #ReneeYoung #AdamPearce #KaylaBraxton
https://t.co/MxgZIfcqZS"
2020-04-07,PhilipMillerBD,"England, United Kingdom","#AI is helping #pharma cope with #supplychain disruption. #COVID19 continues to unsettle global economies &amp; business sectors worldwide, pharma companies are facing disruption to supply chains &amp; #clinicalresearch via @EPM_Magazine https://t.co/22C6XFjxr1"
2020-04-07,AlexWitzleben,Brussels,"#coronavirus - CDC says US infections may be ten times official toll as Australian outbreak grows. Brazil confirms 39,483 new cases as Bolsonaro says he may have had Covid-19
https://t.co/JSeANan8rQ #DonaldTrump #Bolsonaro #BorisJohnson #populism #GOP #Republicans #COVID19"
