Date,User_ID,Location,Text
2020-04-1,PiratKolaja,,"While #COVID19 was spreading, disinformation flooded the on-line space. While I welcome the Commission's initiative to fight it, it's also important to ensure remedy mechanisms for victims of mislabeling. Read more in my blog post ⤵️ https://t.co/R5TCO7rQpT"
2020-04-1,Dr_SSuri,Ithaca NY,So proud of residents of #Ithaca and the whole #Tompkins county. At present there is only 1 active #covid19 case in the whole county. We couldn’t have made this progress without everyone’s effort. Great job. 👏 👏 🙇‍♀️🙇‍♀️ #twithaca #cuomo https://t.co/E6wcM4o64g
2020-04-1,holgermu,San Diego,And we are back with the Sports theme at #HPEDiscover with a mix from #soccer #basketball #racing - how did sports franchises react and adopt to #COVID19 https://t.co/UEPnuaJV5v
2020-04-1,JackridRob,Southampton,"When do we see the detail of the continuous failures of the govt deals #Deloitte will surely have profited handsomely, as many others.  Now #AstraZenica will profit from university research re #Covid19. Govt priorities are directed to #Wetherspoons where they receive donations"
2020-04-1,sjconnects,Chicago/ Evanston / Italy,"More than 120,000 US #COVID19 deaths in four months. IT ISN'T THE FLU! Average flu deaths in US every TWELVE months?: 12,000 – 61,000. We are at a 6X clip. #WearADamnMask"
2020-04-1,debbiebroker,Toronto Ontario ,A Risk Management strategy to reopening our border between Canada and US.  Proof of recent #COVID19 tests is a good start for tourism and other travel.  https://t.co/SZWlDkZfnn
2020-04-1,Manas_tathya,,"@modynishant Wow. #PMCARES give out 
1 Crore 61 lakhs 20 thousand ₹ to a state, SUCH a huge amount.
Amazing isn't it.
There are companies that give out bigger amounts as salaries.
Does the GOI think 1.612 Crore enough for a state to fight #COVID19.
But ₹25000 for #CentralVista
#priorities"
2020-04-1,witchymeezers,Pacific Northwest,"People in the state of WA being mad about wearing a mask, complaining that their freedoms are being taken away should be more upset about actual rights being taken away from our LGBTQ+ citizens by the current administration.  #WashingtonState #COVID19 #WearADamnMask"
2020-04-1,BulldudeC,,"The #COVID19"" bundle rose sharply as the market collapsed

https://t.co/4D4s2xvBvC

$NVAX $INO $SRNE $UAL $SPX $NDX $AAPL $AMZN $TSLA #stocks #investing #trading"
2020-04-1,DanielBellKY,"Taylor Mill, KY",A friendly reminder to wear your mask to prevent the spread of #COVID19 @taylormill_city https://t.co/D3aUMOhXam
2020-04-1,raec_mv,,"Tomorrow's grade 2 telikilass lesson will be taken by Suneetha Miss , of Raa.Atoll Education Centre. Tune to YES TV.

We thank all the teachers for the tremendous help making this successful.

Date: 25th June 2020
Time: 16:00

#MinistryofEducation
#telikilass
#covid19 https://t.co/vbkgqYQUkS"
