Date,User_ID,Location,Text
2020-04-1,cshislop,Coventry UK,"Hi @MarkRutte, @GiuseppeConteIT @EmmanuelMacron @RegSprecher @jensspahn @hugodejonge to end #COVID19, we need to make sure no one is left behind. When negotiating with pharmaceuticals, request from them to reserve the same amount for the poorest countries. #GlobalGoalUnite"
2020-04-1,willlawry,"Eastbourne, England",Words cannot express how much determination this man has! So pleased he's home!! 🏡 @ESHTNHS @ESHT_OOH @SEWB_ESHT #COVID19 @eastbournehe https://t.co/Ten4uwyno6
2020-04-1,matt_shoreditch,"Shoreditch, London",@timpayton Haha! I love travelling. Unfortunately binned a couple of trips already and of course there’s no Tokyo next month. It’s a shame we have such an inept govt who’ve failed in their #COVID19 response.
2020-04-1,LaoTzu5,"England, UK","Solution Dame Judy:  Go to the Cinema

#COVID19 #CoronaVirus #C4News"
2020-04-1,EarthyAndroid,"Glasgow, Scotland",UK to Wed 24/6/20: #COVID19 Cases per 100 Tests (Daily) and Deaths per 100 Cases (Total) #SARSCoV2 #Coronavirus https://t.co/i8UidvAi90
2020-04-1,mitchie66_jones,Teesside,I've wrote a long blog on my lockdown experience #lockdownlottery #blog #COVID19 https://t.co/yBLVvb6dyR
2020-04-1,CHumanEcology,"Glasgow, Scotland",Just kicked off our online conversation with Misak leaders Jeremias Tunubalá Ullune and Liliana Pechene Muelas on the impact of #COVID19 on indigenous communities.
2020-04-1,matt_shoreditch,"Shoreditch, London","So it looks like people are overwhelming reticent at venturing out after lockdown and certainly don’t want to do anything inside. It’s a shame. The govt need to stop the lies, give us a TT&amp;I/App to provide confidence or the economy will never recover  #Covid19UK #COVID19"
2020-04-1,M_YousafAhmad,"London, England","@NadiaBukhariUCL @doctHERs Excellent initiative at educating, informing and discussing the pertinent issues of 🇵🇰 during #COVID19"
2020-04-1,yaitsaravedave,PNW,"Well come July 3 my plane ticket to Ohio (for two) is officially non-refundable, but because @lost_lands still wont announce what's happening I can't really do anything about it

I'm either out two VIP tickets worth of money while broke from #COVID19 or out airfare

@excision?"
2020-04-1,robertk16,Egham,"binti.period https://t.co/V78q6eYsDU
#PeriodsinPandemics
We bleed through natural disasters, exams, war, celebrations and #Covid19. £5 buys an annual supply of pads for one girl. Every girl deserves dignity, period. 
Setup a standing order to help. https://t.co/G7DEjdPD6y"
2020-04-1,RCPath,London ,One patient presented with hypertension and asthma and the other diabetes and asthma #RCPathWebinars #COVID19
2020-04-1,LoneIyStephanie,NY ,"Due to #COVID19 aka #Coronavirus Ill be sending the first 700 people to like &amp; retweet this $300 -$1500 through CashApp, Apple Pay # or Zelle 🏦 (drop all tags in comments) 🥳 https://t.co/Q0viJChz0k"
2020-04-1,RachelSinfield,"Cambridge, England","Just shortlisting for a post.  Stating the bloody obvious here but it is heartbreaking to read of the travel adventures cut short, dream jobs ended, successful careers in performance based industries that have been shut down because of #COVID19"
2020-04-1,williampgwebb,Kent England,Governments around the world should put an end to Factory Farming and Wildlife Trading as well as Wet Markets before we face another pandemic like #COVID19 https://t.co/D0pNNAlwqM
2020-04-1,LaoTzu5,"England, UK","Solution Dame Judy:  Go to the Cinema

#COVID19 #CoronaVirus #C4News"
2020-04-1,EarthyAndroid,"Glasgow, Scotland",UK to Wed 24/6/20: #COVID19 Cases per 100 Tests (Daily) and Deaths per 100 Cases (Total) #SARSCoV2 #Coronavirus https://t.co/i8UidvAi90
