Date,User_ID,Location,Text
2020-03-1,cbiz,"New Hyde Park, NY","COVID-19: NY, NJ, CT Order Joint Quarantine For Visitors From States With High Infection Rate https://t.co/WeetMt1JAj #Quarantine #COVID19"
2020-03-1,MindaMZ,"Seattle, WA, USA ",This is how a #POTUS handles #COVID19 https://t.co/k1H3TYhaK0
2020-03-1,GovMurphy,"New Jersey, USA","NEW: We’ve received 317 new positive #COVID19 test results, pushing our statewide cumulative total since March 4th to 169,892.

The spot positivity rate for tests from June 20th was 2.83%. https://t.co/wDRCNh0WDm"
2020-03-1,UNICEF_Nigeria,Abuja,"While the world is struggling to mitigate the challenges caused by #COVID19, we asked Nigerian youth to help find creative solutions to lessen the impact of the pandemic in their communities.

https://t.co/8PweurhH85

@Goodwall
@Cartedoapp
@UreportNigeria"
2020-03-1,RilesZrk,People's Republic of Illinois,"Could mayors &amp; organizers of (&amp; investors in) #PoliceBrutality protests have INTENDED to cause a #2ndwave #COVID19 surge to hurt @POTUS’ economy. If someone like Soros was behind funding for protests &amp; this was their intent, there need to be criminal charges filed. #KAG #KAG2020"
2020-03-1,plana_journ,New Jersey,"((THREAD)) New Jersey #COVID19 Update (JUNE 24, 2020)

Currently Infected: 121,801 (-413)

New Cases: 317

Total Cases: 169,892

The first positive case was 112 days ago.

** (+) up / (-) down from previous day #NJ https://t.co/f2dlAdiMsR"
2020-03-1,openletterbot,Text RESIST to 50409,"📬 I delivered “COVID-19 SURGESTRUMP ABANDONS THE FIGHT” from Cheri, a constituent in Ashland, Ore., to @SenJeffMerkley and @RonWyden #OR02 #ORpol #COVID19

📝 Write your own: https://t.co/z5540KFSKD https://t.co/4RRyeicE91"
2020-03-1,kate_eardley,"Poole, England","Shocking parking situation today, £30 fine is no deterrent - cheaper than a round of drinks &amp; 4 ice creams! Pictures from the beach show no social distancing #COVID19 @ConorBurnsUK @Tobias_Ellwood @BCPCouncil https://t.co/DKDkZr27Uh"
2020-03-1,VKSharmaMD,,I love the wisdom my colleagues share with me every morning. Pay it forward!!! #COVID19 #SocialDistancing #Masks4All https://t.co/QO9rNWvIic
2020-03-1,annaholligan,"The Hague, The Netherlands",After summer holidays Dutch schools - primary and secondary - will be back to normal. Incredible to think how different education looks across the North Sea #COVID19
2020-03-1,tedjamesmd,"Boston, MA","It was a pleasure presenting at the @harvardmed_cme virtual lecture series on how we can learn from the COVID-19 crisis and prepare to build a more robust health care system.
https://t.co/IF4UtHHH95
#leadership #healthcare 
#covid19 #healthtech https://t.co/ze9Fb8j53j"
2020-03-1,thinkhomecare,"Boston, MA","Congratulations to Annah Kangethe and Teddy Kirabo of @dalscares! They’re two of our #HomeCareHeroes who’ve gone above &amp; beyond to provide care during the #COVID19 pandemic, despite the risks. #HealthyatHome https://t.co/t2p5GwARgS"
2020-03-1,nerbne2,,"Launch the Xbox series X &amp; PS5 already... it might just stop the global recession. Give people who are stuck at home there new consoles to play on.

Better to launch in July then in December...

@Xbox @SONYPLAYSTATlON #COVID19"
2020-03-1,NSBAPublicEd,"Alexandria, VA","NSBA Executive Director &amp; CEO @AnnaMariaChavez explains NSBA’s response to the #COVID19 pandemic, which includes remaining focused on our advocacy role to make sure children in certain communities are not left behind."
2020-03-1,TheTimeTravell3,"Portland, OR",Trump is also withdrawing federal funding for #COVID19 testing. https://t.co/NIa8nejV1k
2020-03-1,TOURMISS,Scotland 🌎France 🌎UAE 🌎,Because of #coronavirus spread on @PGATOUR it’s probably better if the tour cancels the events it’s dangerous to maintain the tournament while pandemic still on
2020-03-1,ParentSecurity,,Big Brothers Big Sisters finding new ways to help kids during COVID-19 pandemic | #coronavirus | #kids. | #children https://t.co/DVxBLWz2gU
2020-03-1,GregoryDEvans,United States,Big Brothers Big Sisters finding new ways to help kids during COVID-19 pandemic | #coronavirus | #kids. | #children https://t.co/Se7GSYhGra
2020-03-1,emanuelmaringer,Bruxelles,"#Coronavirus: Commission @EUinmyRegion supports EU neighbouring countries by making rules on cross-border programmes and projects more flexible
#CRII #covid19 #interreg 
@enicbc #enicbc #externalborders https://t.co/BX9gKgLljj"
2020-03-1,Colliemum3,"England, United Kingdom","“We will not apologize for being an island of safety in a sea of uncertainty and death.”
Citing ""unlawful threats"" to its #sovereignty, Cheyenne River Sioux Tribe is suing Trump administration over #Coronavirus checkpoints on reservation. #COVID19 #Indigenous https://t.co/CVBivO7iI2"
2020-03-1,Shahidlived,Heart And Mind,"#Napali owner owned #Patanjali’s mislead  Indian government on #Coronil approval application which did not mention #CoronaVirus, Licence officer.
https://t.co/eSPVtTDGMq"
2020-03-1,parvinfarazmand,Canada,"#Iran: #Coronavirus Update, Over 60,700 Deaths, June 24, 2020, 6:00 PM CEST - NCRI https://t.co/nwKAhgPFSX #Iran #IranRegimeChange #FreePoliticalPrisoners #FreeIran2020 @SecPompeo @mbachelet @JavaidRehman @antonioguterres @JosepBorrellF @OANN @AlArabiya_Eng @AlainPersian"
2020-03-1,ishinobu_actual,Oregon (US),IMF estimates covid-19 response has cost $12 trillion; global economy will shrink 4.9% this year. Saudi Arabia cancels the Hajj pilgrimage the day after announcing a $4 tourism stimulus program. The daily world report: https://t.co/A7uPNsYZ49 #coronavirus https://t.co/kmFN0pFxBO
2020-03-1,BNF75,France,"Rising concerns about a surge in #coronavirus infections sent global equities lower on Wednesday and pushed investors into perceived safe havens such as #GOLD, which hovered near its highest level in eight years.
https://t.co/eV4AxunzqV"
2020-03-1,HairStartNEA,"Manchester, NH & Wakefield, MA","Something silly we saw featuring #PresidentTrump #TrumpsHair #coronavirus #COVID19 ...
https://t.co/MyJgepjNnW"
