Date,User_ID,Location,Text
2020-05-1,IrmaMalik19,United States,"Woah, first #Pandemic #COVID19 now #earthquake... #year2020 has it’s own perks for us 😳😳😳"
2020-05-1,AndyInBoltonNW,Bury or Bolton,"No previous PM, from Thatcher to May, would make such an outrageous lie at #PMQs. 21 countries are using #COVID19 warning apps. https://t.co/RVrR24srQP"
2020-05-1,IshitaMishraTOI,"New Delhi, India","#Uttarakhand #ayush department sent a notice to #Ramdev #Patanjali owned pharmacy asking the firm to “desist from making misleading claims in media outlets regarding the products, ‘Divya Coronil tablet’ and ‘Divya Swasari Vati’ as being a cure for #COVID19 @TOIIndiaNews https://t.co/GdmR2wV6Qn"
2020-05-1,Over_50_And_Fab,"New York, NY","This host stoled my deposit on #airbnb when I could not travel due to #COVID19. Don't use him here either! #AirbnbrefundNOW 

https://t.co/2zLvWiFPOZ"
2020-05-1,villone_reports,"Largo, MD","@greenpartyus &amp; @LibertarianOfAm will only need to gather 5k signatures by Aug 3rd in #maryland, half of the required 10k, to have their candidates' names on November's #generalelection #ballot. The revision is due to the state's #stayathome order to combat #covid19. #pandemic https://t.co/whXS7FjMOE"
2020-05-1,glenda_macd,http://www.glendamacdonald.com,In some ways #COVID19 has shaken us up in a good way. I learned how meaningful relationships are still being built in 2D virtually using dating apps where users plan to meet in 3D later! #collisionfromhome ... https://t.co/bG9QRz6b6R
2020-05-1,OrriynVarek,,"@RonDeSantisFL realized that straight up and down still counts as flat. Not how I'd #FlattenTheCurve, but I respect the outside the box thinking Ron.  

#COVID19 #Coronavirus # https://t.co/YdhUKogjMV"
2020-05-1,GershwinForever,,"@davmidd @nataliexdean @ScottGottliebMD More data about #COVID19 cases in MA
https://t.co/42Wzfo2fWt https://t.co/ZDmSx6lyBT"
2020-05-1,Empire_Slayer,,The UK government spent £12 million on a COV19 tracking app which failed - a total scam. The government cant be trusted with your tax money #taxes #BorisHasFailedUK #COVID19 think next time a politician talks about tax increases for the rich. All that money will be wasted.
2020-05-1,IAM__Network,Worldwide,"Coronavirus pandemic: What you need to know in Asheville, WNC, June 20 

READ MORE: https://t.co/L9PCMRJ1FF

#cdc #coronavirus #covid19 #mers #outbreak #pandemic #sars #ViralOutbreak #virus #who* https://t.co/pGiNUBs1US"
2020-05-1,welthianloring,,"#DeSantisFailedFlorida #COVID19 He says no to a statewide mask  mandate. He says you ""can catch more flies with honey"" What does he mean by that...People catching COVID19 are now flies?...The state economy is now honey? Really? https://t.co/BZawicJOQv"
2020-05-1,mccshark,For sale by Google,"Of course, we're testing significantly more people at every day.  Why do we panic if few people are dying? (less than auto fatalities) #COVID19 https://t.co/5Pmlb4SPxu https://t.co/SRGGEksh9V"
2020-05-1,onerazz,Global,Strong foundation of research essential for future: Sheikh Hamdan visits @MBRUniversity’s #Covid19 Command &amp; Control Centre team https://t.co/iZYlHSiIz8 https://t.co/Uh9Xuz9Qi9
2020-05-1,batcap50,"San Diego, CA",Shit just got real. #halloween #COVID19 https://t.co/iUwsBnbRfW
2020-05-1,Singhsaab210,"Jammu, Jammu And Kashmir","As on today 24 Jun 20, india till time has 1,86,554 cases in India which is not good. Bt if we look at the top three states Maharahstra, TN and Delhi, they combined has 1,17,781 cases which is 63% of total active cases
#COVID19
#CoronaUpdatesInIndia
#Delhi
#Maharashtra
#TamilNadu https://t.co/jhlAQE8JSw"
2020-05-1,TheAfricaReport,"Paris, France","#Egypt VS #Coronavirus: Ahead of #COVID19, #Egyptian #COTTON farmers faced a 35% decrease in the amount of acres allotted for cotton plantation. Many farmers knew cotton would be of no use this year, and focused on food security, reports @MouradKamel94 

https://t.co/rk0sIZOwMK"
2020-05-1,mrsimonkp,"Mount Vernon, NY",@atrupar @MariBXBKgirl #CORONAVIRUS RETWEETED 🤣🤣😂😂🤣 God help us https://t.co/prVSN7QGVF
2020-05-1,LThakuriya,"Jaipur, India","The next corona caller tune  should tell people to wear mask on the nose and not on the chin
#coronavirus #no_attitude_onlysafety"
2020-05-1,dailystar,London,"How hairdressers will look after lockdown – from waiting lists to no blow drys

#Hairdressers #Salons #July4 #coronavirus

https://t.co/acQ84lfNl6"
2020-05-1,AlanGTV,Denver,"Denver is finding a #coronavirus infection rate of about 3%-but mayor says at 5% there may have to pause further re-opening.
https://t.co/RSpoaCiHgA
@CBSDenver"
2020-05-1,OrriynVarek,,"@RonDeSantisFL realized that straight up and down still counts as flat. Not how I'd #FlattenTheCurve, but I respect the outside the box thinking Ron.  

#COVID19 #Coronavirus # https://t.co/YdhUKogjMV"
2020-05-1,AdvocateIndian,,Dow plunges 700 points as Florida sees record jump in coronavirus cases https://t.co/ETWL6btYOa #coronavirus #Covid_19 @EconomicTimes @bsindia @livemint @BT_India @BTVI @CNBC @CNBCTV18News @NBCNews @business @businessinsider @BiIndia @FinancialTimes @FinancialXpress @markets @WSJ
2020-05-1,IAM__Network,Worldwide,"Coronavirus pandemic: What you need to know in Asheville, WNC, June 20 

READ MORE: https://t.co/L9PCMRJ1FF

#cdc #coronavirus #covid19 #mers #outbreak #pandemic #sars #ViralOutbreak #virus #who* https://t.co/pGiNUBs1US"
2020-05-1,wearedonbosco,Global,Technical students are making masks with the excess fabric from sewing projects at the Salesians of Don Bosco technical school in Samoa. #Samoa #WeAreDonBosco #Salesian #covid19 #coronavirus https://t.co/lhecnrWl31
2020-05-1,JHWhitley,"Austin, TX","It's amazing how fast ""Stay at home"" protesters popped up once big business got their #coronavirus relief checks and oil dropped to a negative value, isn't it?"
2020-05-1,SallmanMustafa,Iraq,"#coronavirus is not a joke! Almost a week and still I am so weak and have pain 🙏
Be safe please!"
2020-05-1,essaberries,,"Liberal experts keep preaching to us about racism and how and what we can do to prevent it even though Dem experts are racist themselves, smh. #maga #kag #TrumpDictatorship #trump2020 #blacklifematters #AsianLivesMatter #Resist #TheResistance #COVID19 #coronavirus"
2020-05-1,FramSource,"Framingham, MA",#Massachusetts Attorney General Issues Advisory on #Auto Sales During #Coronavirus Pandemic https://t.co/5GWQKmkmTx
2020-05-1,hatecouture616,France,"Buy our John Wayne Gacy « Fight Covid19 - Stay at my Home » on our shop

🤡 https://t.co/VS9FvjZ0Yq

#hatecouture #johnwaynegacy #clown #covid_19 #covid19 #covid #coronavirus #serialkiller #chicago #killerclown… https://t.co/A8QGfFKmVA"
2020-05-1,ElectsWorld,,"🇮🇹#Italy, poll :

How would you rate #Conte's Government handling of #Coronavirus crisis ?

⏫Positive : 69 % (+8)
⏬Negative : 29 % (-5)

#Ixè, 23/06/20 https://t.co/4Gwm3ursUy"
2020-05-2,nbanthia,"Vancouver, British Columbia",Karl Marx: “The last capitalist we hang shall be the one who sold us the rope!” #COVID19 #retail #Capitalism #profits #businessideas #KarlMarx https://t.co/5kXenPS1ai
2020-05-2,VPDCyberCrime,,The attached link from @MFDA has some great information around #COVID19 scams and how to safeguard yourself. https://t.co/BOeikVsPVz
2020-05-2,carlaslb,"California, USA","I am fuming! A country that does no agree that the use of a mask is a good idea to protect its citizens during an infectious pandemic tells a lot about the state of mind of the leadership of that country. Feels like a Hollywood production but no it’s the sad reality. 

#COVID19"
2020-05-2,Citizen204,,"4th person shot in #SeattleAutonomousZone 

https://t.co/7aLb2OGeqJ

#Trump #KAG2020 #Democrats #Biden #Trump2020 #Seattle #thursdaymorning #WednesdayThoughts #Corona #COVID__19 #COVID19 #riots2020 #protests #AntifaTerrorist #Flynn #FlynnIsFree #CNN #Biden2020Landslide"
2020-05-2,amythewriterly,,"Been waiting for a year for surgery. Finally scheduled in March, rescheduled for July. Hospitals are almost at capacity. People here hate masks. Maybe next year my quality of life will improve? #covid19 https://t.co/k9W8vjpOo0"
2020-05-2,redempter,Kigali,"Everyday, i remind my children about the good things that come with internet. I also caution them about the bad that come with it especially during this #COVID19. https://t.co/rlmCRidQqd"
2020-05-2,oliveradeka,KENYA,This article is featured on the @ResearchGate #COVID19 community page. Read it here: https://t.co/b6CJb20A0D
