Date,User_ID,Location,Text
2020-05-1,dealatrip,UK,👇Poor Gavin wants to think that Scotland hasn't got a PM because Health is devolved to Holyrood so has no bearing on the SNP Scot Gov #covid19 issues when anyone can see that they are marching in tune tucked in behind. Sturgeon has him well fooled - easy meat these idiots! 👇🇬🇧 https://t.co/HeQOreYfZR
2020-05-1,drhannahshort,"East Anglia, England",".@MattHancock - as a GP in your constituency, and one who is very concerned re the long-term effects of #Covid19, I would be keen to hear how you will be addressing this. We cannot ignore the vast swathes of people currently suffering; this is only going to get worse #LongCovid https://t.co/0YraZFQspp"
2020-05-1,naturesroot,London,"Have you tried our Acai Berry powder?
You need to… 😋

Shop at https://t.co/m2aUGDYExg.

#Coronavirus #Covid19 #StayAlert #SelfIsolation @AllHeartsGlobal @vegansofldn #Healthy #HealthyEating #CleanEating #EatWell https://t.co/FDZU5JkO0U"
2020-05-1,CooperativesUK,Manchester,"The @LarderLancs in #Preston faced the closure of their community café by rallying volunteers to provide hot meals for the most vulnerable during #COVID19. Hear about their mission to #KeepCooperating on our podcast https://t.co/392k5lPztI

#MoreThanAShop #CoopFortnight #coops https://t.co/2J068VSPMz"
2020-05-1,NolanJazimreg,"London, England","I guess #COVID19 is here to say f*ckoff to all right-wing governments!
If the economy and investors are so important &amp; the right way forward, why can't they survive the pandemic economic crisis?"
2020-05-1,FocusNewtownHub,"Newtown, Wales","Are you looking for a simple, long-term way of gaining more website visitors? If your business exists online, this webinar is worth your time! @TramshedTech @AledNelmes 

#Covid19 #BusinessAdvice #BusinessSupport

https://t.co/dxcLfr5GBw https://t.co/iZBfjBRIiC"
2020-05-1,BrainAppeal,"Queen Square, London","Thanks to #ALIM20 #illustrator &amp; author, @TimHopgood for reading his book #CyrilTheLonelyCloud for #BrainAppealStoryTime! He's raising awareness for our fund supporting #QueenSquare’s recovery from #Covid19. Pls donate: https://t.co/MT3LmA3cr2 &amp; 
watch at https://t.co/cxPUj8OhcR https://t.co/GmaixDB0eW"
2020-05-1,ZipWireWoman,"England, United Kingdom","Fuck you #china #COVID19 has allegedly mutated to a much more infectious and dangerous strain - D614G NOT FROM EUROPE FROM  CHI-NA 
serves you right #CruelGookBastards 

#shithole #hellhole https://t.co/9zL65plSSA"
2020-05-1,matt_shoreditch,"Shoreditch, London",Another NO #Covid19UK #COVID19 https://t.co/JOezYECVYY
2020-05-1,styleonathread,"Musselburgh, Scotland","Four potential consequences of wearing face masks we need to be wary of via @TC_Africa
#plasticpollution #COVID19 https://t.co/o3jKbJvoAL"
2020-05-1,VoteSNPOut,"Scotland, United Kingdom","U.K. &amp; Scotland Weekly #COVID19 update Wednesday 24/6/20 
Covid Death trends &amp; Daily testing (note Scotland deaths underreported  - see tweet 5). Scottish testing levels are very low 1/5 https://t.co/en5q1FHL3q"
2020-05-1,LeicsCountyHall,"Leicestershire, United Kingdom","When the world feels unsafe, don’t make your home unsafe. If you're worried about your behaviour while in #lockdown call the #RespectHelpline on 0808 802 4040 #gethelp #covid19 https://t.co/hU8xv1qK8o"
2020-05-1,StLukesPlymouth,"Plymouth, Devon","Positive news for families who’ve not been able to visit loved ones at Turnchapel as normal due to restrictions necessary to keep patients and staff #safe from #COVID19.

You can visit from Monday – please read our updated guidelines first - https://t.co/6McLWGCQFi https://t.co/1w1c5Rm7ai"
2020-05-1,StephBretherton,"Crewe, Cheshire","Hey @walls

I just opened this twista from a multipack and it looks like someone has bitten a chunk out of it before it got wrapped! Was scared to eat it in case whoever might have eaten some had #COVID19... Had to bin it and miss out on your icy goodness! 😔 https://t.co/Vsji7CEjoS"
2020-05-1,sgfleetUK,"Solihull, England","Do you need the latest information and guidance about #Covid19? 

Here's the @bvrla page that gives you the latest #CoronavirusUpdates. 

https://t.co/p9oKJTGwZy   

#FleetManagement https://t.co/0ETadaBjZo"
2020-05-1,UKMercer,UK,"#COVID19 has forced #UK firms to rethink #retirement schemes, #culture, and #business risks. Join our 25 June webinar to learn how they can manage the return to work. https://t.co/z0TzpNprc6 #FutureofWork https://t.co/RvcczArNHC"
2020-05-1,SkyNews,"London, UK",".@RCEMpresident: 'How do we move forward with a risk of there being more pockets of infection or a second wave at a time where we have to get patients back into the system?'

Dr Henderson questions the govt's plans for managing patient flow.

#COVID19: https://t.co/ZslkihFCvy https://t.co/eBAuKuU6kq"
2020-05-1,mssocietyuk,United Kingdom,"Throughout #COVID19, researchers have continued working to find MS treatments. Read an update on our #MSResearch: https://t.co/oclskliTvz

But we can’t do it alone. We’re joining @AMRC in calling for £310m support from the government to medical research charities. #ResearchAtRisk https://t.co/lcwJ8zLoET"
2020-05-1,mj_hull,"London, England","Our fantastic @YoungGreenParty co-chair @rosierawle speaks on the effects that #COVID19 is having on young people in the UK, and the structural problems underlying these.
Thanks to @gj_muenchen and @LondonYGs for coordinating! https://t.co/rt6WBUsnWO"
2020-05-1,wanderlustmag,"Windsor, England","Coronavirus travel update &gt; https://t.co/Ry4xFDGh2z

Which countries are open and which are closed? Get a daily update on the world of travel right here...

#COVID #COVID19 #Coronavirus #TravelNews https://t.co/7TeCY2M7IN"
2020-05-1,remoterave,London,"Townsend is LIVE over on Mixcloud

https://t.co/YR26soz55D

#dnb #drumandbass #COVID19 #lockdown #lockdownuk"
2020-05-1,IanHabs,"London, England",Great to hear @dcoplin getting passionate to make sure we avoid nothing changing post #Covid19 The Rise of the Humans - Episode 9 https://t.co/qk3e7eF4ej via @YouTube #allfiredup We have to move forward.
2020-05-1,MasterofIoT,"New South Wales, Australia",@carabwilliams @RedPaddleCo @LBRUT Unfortunately a by-product of Covid and lockdown over the last few weeks. Society has been using more plastic and not recycling as much 😕 #plasticfree #plasticpollution #covid #lockdownuk #plasticfree #pandemic #coronavirusuk #London #COVID19 #WednesdayThoughts
2020-05-1,ruthyie,"Witney, UK","Help slow the spread of #COVID19 and identify at risk cases in your area sooner by self-reporting your symptoms daily, even if you feel well 🙏. Download the app https://t.co/SEqwXRwAgn"
2020-05-1,Haksta83,London,"Truth!!
#ClimateChange #climate #recession #COVID19 https://t.co/ONn1vP7E9J"
2020-05-1,LabourRuth,Witney,"Help slow the spread of #COVID19 and identify at risk cases in our area sooner by self-reporting your symptoms daily, even if you feel well 🙏. Download the app https://t.co/Vx9uFZ8JsA"
2020-05-1,drpaulmorgan,Cardiff,"@MattHancock Only if your plan was to fail miserably to stop spread of #CoVID19 while killing off &gt; 60,000 people. You should 1) hang your head in shame 2) resign as a Minister and as an MP 3) get the rest of your fellow @Conservatives MPs to also resign so we can get competent people instead"
2020-05-1,SoozTait,Edinburgh,@ColinTaylor17 @SongoftheOss @Beathhigh 🤦‍♀️ you cant pass on those like you can #COVID19- sorry to the rest of twitter for stating the obvious 🤪
2020-05-1,AinemCarroll,"Dublin City, Ireland",.@paulreiddublin finishes another excellent webinar by @RCPI_news by thanking the contribution of the college and members and fellows to managing the #COVID19 crisis Nice touch 👍 https://t.co/fjP8gUuMhQ
2020-05-1,NortherlyRose,"Durham, England","The fact that #BorisJohnson lies so blatantly and persistently means I can’t believe anything he says at all. During a pandemic this matters a great deal. 
#PMQs 
#autistic 
#COVID19 
#Covid19UK https://t.co/jvhhR4YcRI https://t.co/bXT5ctYg1t"
2020-05-2,phoenixprodev,"Lincolnshire, UK","Phoenix Professional Development are offering a 19% discount on all of our CV writing prices while the UK remains in lockdown (even a soft lockdown).

Just quote #Covid19 when you get in touch.

#CV
#jobs
#recruitment
#UKrecruitment
#vacancies
#virtualjobsfair
#WednesdayJobClub https://t.co/p7NWH18zyX"
