,id,cluster
0,1815,6
1,401,1
2,25,6
3,1585,1
4,1207,2
5,1179,1
6,2342,1
7,2128,2
8,1654,7
9,343,5
10,2080,3
11,1387,5
12,231,5
13,1063,7
14,1527,7
15,1575,1
16,1061,0
17,2343,0
18,2207,2
19,2062,0
20,2454,2
21,716,0
22,228,1
23,55,6
24,1529,2
25,162,0
26,1422,6
27,480,1
28,1137,7
29,1886,0
30,803,2
31,1401,0
32,774,0
33,847,6
34,526,0
35,1920,5
36,1655,5
37,1751,6
38,999,7
39,1583,7
40,879,1
41,1261,5
42,764,4
43,2154,0
44,744,5
45,2453,0
46,1522,7
47,2451,4
48,935,0
49,2308,0
50,1479,5
51,7,5
52,2047,5
53,553,2
54,1189,5
55,1447,2
56,1536,7
57,478,7
58,667,0
59,2384,5
60,2491,1
61,95,2
62,1759,1
63,564,0
64,314,6
65,221,0
66,2021,5
67,143,6
68,1889,5
69,2473,7
70,2360,5
71,2467,6
72,2450,5
73,675,0
74,1714,1
75,1742,7
76,1708,1
77,1021,2
78,1095,2
79,2394,6
80,2245,7
81,2270,2
82,1695,5
83,2099,7
84,808,6
85,353,2
86,1865,0
87,588,2
88,2266,2
89,721,2
90,971,2
91,690,6
92,1775,5
93,1783,6
94,1543,1
95,757,0
96,487,6
97,158,1
98,2020,2
99,1004,0
100,2116,6
101,621,1
102,1519,7
103,1749,2
104,212,5
105,1827,6
106,2109,6
107,2123,5
108,1679,2
109,868,2
110,2019,7
111,1748,6
112,530,5
113,306,2
114,995,1
115,497,5
116,45,6
117,2321,4
118,1784,1
119,1482,1
120,1513,4
121,1143,2
122,1305,7
123,2028,6
124,2144,5
125,1406,5
126,1906,6
127,1611,7
128,2431,0
129,1380,0
130,2136,1
131,2214,5
132,763,2
133,440,5
134,2249,0
135,518,0
136,787,1
137,1360,7
138,984,0
139,1347,6
140,2087,1
141,471,0
142,2016,7
143,1490,0
144,1419,3
145,2304,5
146,2390,1
147,1712,1
148,1801,7
149,759,1
150,1765,6
151,1557,0
152,133,1
153,1631,5
154,1416,0
155,1492,7
156,1641,5
157,360,0
158,1642,1
159,1112,1
160,2415,0
161,258,1
162,949,2
163,2353,0
164,648,2
165,1144,1
166,154,0
167,149,1
168,737,0
169,1545,2
170,1289,1
171,1,5
172,2341,7
173,605,7
174,1052,5
175,1507,0
176,1982,5
177,1753,6
178,508,5
179,333,0
180,1265,6
181,2293,1
182,233,6
183,2279,2
184,1525,7
185,495,2
186,1324,0
187,296,5
188,1150,0
189,878,1
190,2053,6
191,85,6
192,1823,1
193,67,5
194,1719,1
195,428,2
196,1623,0
197,1121,1
198,987,5
199,1590,0
200,2126,7
201,922,5
202,273,0
203,1193,1
204,842,2
205,479,7
206,2432,7
207,1195,1
208,1462,5
209,1006,4
210,351,7
211,398,6
212,1275,1
213,1913,3
214,693,1
215,1706,7
216,1736,7
217,500,5
218,2024,5
219,817,0
220,2375,5
221,1989,2
222,941,7
223,2063,7
224,472,7
225,2014,0
226,1152,7
227,36,7
228,731,1
229,414,6
230,2227,2
231,1724,1
232,179,0
233,100,6
234,434,0
235,1563,0
236,89,5
237,142,6
238,625,7
239,769,7
240,1598,1
241,2156,5
242,1675,1
243,770,0
244,1398,2
245,861,0
246,1849,7
247,1133,2
248,1276,6
249,881,7
250,919,0
251,1349,1
252,2237,2
253,946,0
254,293,5
255,113,3
256,1717,7
257,756,7
258,1504,5
259,1332,0
260,521,7
261,1359,0
262,697,2
263,297,7
264,599,7
265,927,0
266,1266,5
267,1227,7
268,2458,3
269,1523,1
270,1427,7
271,2448,6
272,1730,6
273,2211,4
274,2362,1
275,2210,6
276,2185,6
277,137,5
278,2124,4
279,1763,1
280,2234,0
281,939,4
282,1251,1
283,1917,3
284,870,6
285,131,2
286,27,5
287,807,1
288,2162,0
289,2027,2
290,1409,5
291,2155,1
292,2033,6
293,48,1
294,1690,7
295,859,1
296,1430,0
297,2382,2
298,402,0
299,634,2
300,1241,2
301,1928,2
302,1184,7
303,2398,6
304,655,5
305,56,5
306,1976,7
307,662,1
308,1902,1
309,1761,1
310,190,5
311,1987,6
312,431,6
313,1327,3
314,9,1
315,1372,0
316,1177,0
317,1078,4
318,1718,7
319,952,4
320,1937,5
321,502,7
322,368,6
323,2495,2
324,1213,3
325,1475,7
326,2061,2
327,488,5
328,1630,6
329,686,6
330,2202,1
331,177,3
332,1732,1
333,1037,0
334,1126,0
335,1196,6
336,2476,1
337,80,0
338,1999,2
339,172,1
340,2102,7
341,821,7
342,835,7
343,2022,4
344,2079,2
345,2188,6
346,2246,0
347,1977,7
348,1497,6
349,1951,6
350,1304,0
351,2113,2
352,1224,1
353,1236,3
354,2435,4
355,1434,7
356,1225,2
357,139,4
358,2057,7
359,897,1
360,646,1
361,869,5
362,1454,0
363,1878,7
364,776,0
365,876,5
366,227,5
367,938,2
368,52,0
369,467,1
370,1554,1
371,420,5
372,742,4
373,329,2
374,226,5
375,1050,5
376,1339,3
377,1505,0
378,706,5
379,315,5
380,2271,6
381,2209,1
382,585,7
383,1316,2
384,710,5
385,259,5
386,785,0
387,654,0
388,1670,0
389,1246,5
390,1681,0
391,205,0
392,956,5
393,99,2
394,438,0
395,59,6
396,1754,7
397,1702,1
398,709,3
399,1315,2
400,550,0
401,917,5
402,1537,0
403,2487,0
404,703,3
405,948,6
406,124,7
407,385,0
408,397,1
409,468,2
410,298,2
411,2275,6
412,2152,1
413,2171,5
414,427,7
415,1084,6
416,1028,6
417,262,7
418,1894,3
419,1551,4
420,1992,1
421,2219,0
422,566,7
423,972,7
424,2351,0
425,2074,4
426,1460,6
427,1628,0
428,1253,5
429,1570,6
430,620,0
431,1287,0
