,id,output
0,1815,"[ 0.28202912 -0.10968205 -0.7513055  -0.4228494   0.07476828  0.74169123
  0.40880892  0.11731915  0.18712163 -0.2787918  -0.8371551   0.16710672
  0.32054538  0.63851297  0.04894204  0.46352538 -0.6079989   0.18407752
  0.21142797  0.5792855 ]"
1,401,"[ 0.42700177  0.06155495 -0.9832161  -0.592367    0.3276275   0.87679935
  0.34488523  0.3051998   0.24598132 -0.31117895 -0.9380726   0.01706599
  0.4802061   0.7697095   0.2676185   0.39287412 -0.7441809   0.19323555
  0.42605668  0.7264823 ]"
2,25,"[ 0.02247654 -0.18372938 -0.22511074  0.00586004 -0.12595443  0.08953076
  0.37492567  0.06428684  0.02725361  0.00608579 -0.18560165  0.36750075
 -0.1170805   0.3250792  -0.08037571  0.32641518 -0.28593186  0.26319176
 -0.17535633  0.3285581 ]"
3,1585,"[ 8.8192925e-02 -1.3339509e-01 -4.0069410e-01 -1.3782233e-01
 -9.8996973e-03  3.3649036e-01  3.6136654e-01  1.3063079e-01
  7.1429640e-02 -7.4953102e-02 -3.8963723e-01  2.4038571e-01
  7.0270851e-02  4.2654598e-01  1.5918689e-02  3.2237002e-01
 -3.3631244e-01  1.9538371e-01  2.3555383e-04  3.7911296e-01]"
4,1207,"[ 1.3047233   0.75580734 -2.106079   -1.622969    1.1490103   1.9491994
 -0.21336041  0.6217392   0.5590372  -0.7920541  -1.967486   -0.99374944
  1.5325904   1.0536513   1.1853218   0.03819673 -1.2390817  -0.09389137
  1.6440259   1.2528423 ]"
5,1179,"[ 0.10490881 -0.23138323 -0.6198388  -0.2038936   0.01833329  0.6292041
  0.56774145  0.14420798  0.13251194 -0.19950633 -0.70981723  0.3429258
  0.15945205  0.69351304 -0.08757673  0.5961652  -0.53474057  0.23951939
  0.01554183  0.5231589 ]"
6,2342,"[ 0.14701486 -0.16809115 -0.6555429  -0.23501524  0.08727916  0.5779
  0.5208921   0.20442042  0.13555878 -0.16531378 -0.6558351   0.33589828
  0.15741421  0.66774815  0.01270632  0.5386003  -0.5626778   0.2889058
  0.04182312  0.5792415 ]"
7,2128,"[ 0.9354207   0.6561776  -1.478153   -1.1342857   0.96170676  1.3197608
 -0.3228964   0.56267583  0.4675315  -0.6237976  -1.3085872  -0.86908907
  1.1679718   0.64840764  1.0143651  -0.1248883  -0.8983538  -0.19184367
  1.2651559   0.8219799 ]"
8,1654,"[ 0.61337245  0.19558728 -1.1134794  -0.80531996  0.44315553  1.0614762
  0.17260867  0.28658324  0.32346046 -0.36017993 -1.1170917  -0.21047685
  0.6684556   0.7657157   0.42538     0.27914372 -0.7436446   0.08265941
  0.6595818   0.7837804 ]"
9,343,"[ 0.8522254   0.4066361  -1.6219225  -1.1352272   0.810479    1.5502193
  0.08359462  0.4981807   0.4495532  -0.6190018  -1.5782666  -0.5488593
  1.0950685   0.92940634  0.7530253   0.26624364 -1.0312092  -0.0156467
  1.0920136   1.0005608 ]"
10,2080,"[-0.306052   -0.49898463  0.29986015  0.40516606 -0.5923438  -0.2677642
  0.50214016 -0.24976557 -0.06837161  0.12475774  0.10990939  0.60648304
 -0.51015073  0.07495017 -0.5122147   0.41083586  0.03682984  0.19622354
 -0.62444746  0.01044407]"
11,1387,"[ 0.84121215  0.42210826 -1.6090579  -1.0935439   0.8063167   1.5309457
  0.05291958  0.50021166  0.42008498 -0.65650773 -1.5397822  -0.56063443
  1.0872579   0.92207444  0.74570286  0.23281087 -1.0195857  -0.02686428
  1.0671978   0.95112854]"
12,231,"[ 1.0151886   0.5045412  -1.9616284  -1.3572991   0.92111963  1.941881
  0.13711672  0.53719294  0.4678458  -0.7404938  -1.9322013  -0.661749
  1.310621    1.1571871   0.8349713   0.33047298 -1.2039485  -0.01925839
  1.3134009   1.1978173 ]"
13,1063,"[ 0.54557526  0.03616058 -1.3475767  -0.775039    0.43312982  1.3457884
  0.5030016   0.35727474  0.30927578 -0.45524785 -1.4067785   0.01469124
  0.68888026  1.0828533   0.29641947  0.63582426 -0.95907557  0.21392018
  0.5860564   0.9657433 ]"
14,1527,"[ 3.9713457e-01  7.8210142e-04 -1.0192572e+00 -5.9491003e-01
  2.9351595e-01  9.7111017e-01  4.1279745e-01  2.6689121e-01
  2.3293902e-01 -3.5089076e-01 -1.0239742e+00  2.2325736e-02
  4.9190164e-01  7.7504683e-01  2.0701630e-01  4.6996132e-01
 -7.5510716e-01  1.7495766e-01  4.0977716e-01  7.2934395e-01]"
15,1575,"[ 0.35647005  0.08818869 -0.8862461  -0.49964938  0.33369854  0.8610799
  0.21989635  0.26034006  0.22239806 -0.37879273 -0.8692267  -0.10880531
  0.49318203  0.5842103   0.26487824  0.28753164 -0.6267239   0.04158045
  0.4197705   0.5452085 ]"
16,1061,"[ 0.81233895  0.28369224 -1.4512138  -1.0408429   0.5818646   1.3845237
  0.18883869  0.38021597  0.37937778 -0.5232912  -1.4660088  -0.35214254
  0.9013645   0.91630346  0.5829496   0.32314125 -0.97763836  0.06589756
  0.9038868   1.0152037 ]"
